bill_uid,state_code,state,identifier,chamber,title,classification,furthest_stage,lifecycle_state,primary_sponsor,primary_sponsor_party,subjects,first_action_date,latest_action_date,source_count,sources,state_population,is_enacted,reached_passed_chamber,days_active,days_since_last_action,primary_topic
MO:2026:HB3299,MO,Missouri,HB 3299,House,Requires that newly elected members of the general assembly be issued a calculator,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3300,MO,Missouri,HB 3300,House,Modifies provisions relating to licensing for mobile food units,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3301,MO,Missouri,HB 3301,House,Establishes provisions relating to immigration enforcement,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3302,MO,Missouri,HB 3302,House,Establishes an animal abuse offender registry,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3303,MO,Missouri,HB 3303,House,Provides an exemption from state and local sales and use taxes for certain elected officials making purchases for official business,bill,introduced,active,,,,,2026-04-29,1,legiscan,6200000,0,0,,68,
MO:2026:HB3304,MO,Missouri,HB 3304,House,Modifies provisions relating to offenses involving animals,bill,introduced,active,,,,,2026-04-23,1,legiscan,6200000,0,0,,74,
MO:2026:HB3305,MO,Missouri,HB 3305,House,Modifies provisions governing mental health efforts in public schools,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3306,MO,Missouri,HB 3306,House,Modifies provisions relating to public labor organizations,bill,introduced,active,,,,,2026-03-12,1,legiscan,6200000,0,0,,116,
MO:2026:HB3307,MO,Missouri,HB 3307,House,Prohibits state contracts with certain telecommunications companies,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3308,MO,Missouri,HB 3308,House,Authorizes a sales tax exemption for certain purchases of materials and equipment,bill,passed_chamber,active,,,,,2026-04-29,1,legiscan,6200000,0,1,,68,
MO:2026:HB3309,MO,Missouri,HB 3309,House,Establishes provisions relating to protest activities,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3310,MO,Missouri,HB 3310,House,Modifies the required school year start date for school districts in which a charter school operates,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3311,MO,Missouri,HB 3311,House,Modifies and establishes provisions relating to school libraries,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3312,MO,Missouri,HB 3312,House,Establishes a pilot program to direct local sales taxes on purchases back to the purchaser's county of residence,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3313,MO,Missouri,HB 3313,House,Creates provisions relating to court-ordered involuntary outpatient treatment for persons with mental disorders,bill,introduced,active,,,,,2026-04-02,1,legiscan,6200000,0,0,,95,
MO:2026:HB3314,MO,Missouri,HB 3314,House,"Allows DCI to share confidential information with guaranty associations on insolvency matters, amends composition of board members, and suspends plan of operation for association if medical malpractice insurance is available in voluntary market",bill,introduced,active,,,,,2026-04-23,1,legiscan,6200000,0,0,,74,
MO:2026:HB3315,MO,Missouri,HB 3315,House,Establishes provisions regulating the display of flags at public buildings,bill,introduced,active,,,,,2026-05-15,1,legiscan,6200000,0,0,,52,
MO:2026:HB3316,MO,Missouri,HB 3316,House,Modifies provisions relating to motor vehicle registration,bill,introduced,active,,,,,2026-04-09,1,legiscan,6200000,0,0,,88,
